element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
A0105A0106,A0105,A0106,-362609.7869130273,-38133560.63731376,376000000.0,-53599705.932131305,-53599705.932131305,71.14509300778441
B0005B0006,B0005,B0006,-2756832.7735078046,-98233104.30107853,376000000.0,-158191374.04953867,-158191374.04953867,62.09763641746747
B0105B0106,B0105,B0106,-1780749.5719685904,-81826858.15968025,376000000.0,-122669675.44362582,-122669675.44362582,66.70504170143066
B0006A0005,B0006,A0005,501789.5966500702,151727056.26230836,376000000.0,-12277294.396753745,376000000.0,40.35294049529477
B0106A0105,B0106,A0105,1098185.8759217213,195177789.59982735,376000000.0,-20887646.421697937,376000000.0,51.90898659569877
B0006B0105,B0006,B0105,2559215.7226939285,157385092.5930071,376000000.0,-45829334.362091064,376000000.0,41.857737391757205
A0006B0106,A0006,B0106,-38193.72287006614,-27152293.868690684,376000000.0,-5221911.60542469,-5221911.60542469,519.9684697933992
B0006A0106,B0006,A0106,195673.77455004788,139106414.0841536,376000000.0,-5221911.60542469,376000000.0,36.99638672450894
A0100A0200,A0100,A0200,515419.6034149032,121958279.04306567,376000000.0,-23822091.52539009,376000000.0,32.43571251145364
A0200B0200,A0200,B0200,36108.77171001992,25670081.54830411,376000000.0,-15295043.560333427,376000000.0,6.82714934795322
B0200B0100,B0200,B0100,-5351752.67139103,-144381528.46491504,376000000.0,-208936657.77226976,-208936657.77226976,69.10301428401498
A0101A0201,A0101,A0201,1067283.9824160703,147679158.32129607,376000000.0,-40737186.09962815,376000000.0,39.27637189396172
A0201B0201,A0201,B0201,41042.53207348257,16412366.473624635,376000000.0,-27191188.55170399,376000000.0,4.364991083410807
B0201B0101,B0201,B0101,-3507403.961462197,-94624018.7082833,376000000.0,-208936657.77226976,-208936657.77226976,45.288375777226534
A0200A0201,A0200,A0201,-83097.34058418537,-8738863.622361602,376000000.0,-53599705.932131305,-53599705.932131305,16.303939490688386
B0200B0201,B0200,B0201,-3012319.485430995,-138418474.52672064,376000000.0,-122669675.44362582,-122669675.44362582,112.83838000397446
B0201A0200,B0201,A0200,305938.9310748194,122340937.60002422,376000000.0,-9283398.409643937,376000000.0,32.537483404261764
B0101B0200,B0101,B0200,4689446.637375734,288388738.2719136,376000000.0,-45829334.362091064,376000000.0,76.69913251912597
A0100B0200,A0100,B0200,109390.71186050723,60545191.42752238,376000000.0,-6707255.350967683,376000000.0,16.10244452859638
A0200B0100,A0200,B0100,-415832.82344607625,-25572634.16324335,376000000.0,-60365298.158707924,-60365298.158707924,42.36313733763013
A0101B0201,A0101,B0201,98441.55293507977,69983069.81691013,376000000.0,-5221911.60542469,376000000.0,18.61251856832716
B0101A0201,B0101,A0201,-771510.3616711561,-35451514.31001036,376000000.0,-80788774.65992214,-80788774.65992214,43.88173290069371
A0102A0202,A0102,A0202,1712679.5158153316,180112535.6395689,376000000.0,-53599705.932131305,376000000.0,47.90227011690662
